UNITID,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRRFTCT,RRFTCT,XRRFTEX,RRFTEX,XRRFTCTA,RRFTCTA,XRET_NMF,RET_NMF,XRET_PCF,RET_PCF,XRRPTCT,RRPTCT,XRRPTEX,RRPTEX,XRRPTCTA,RRPTCTA,XRET_NMP,RET_NMP,XRET_PCP,RET_PCP,XSTUFACR,STUFACR 
140401,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",10
140447,"R",645,"R",1276,"R",51,"R",567,"R",0,"R",567,"R",464,"R",82,"R",37,"R",0,"R",37,"R",20,"R",54,"R",13
140483,"R",722,"R",1230,"R",59,"R",31,"R",0,"R",31,"R",25,"R",81,"R",1,"R",0,"R",1,"R",1,"R",100,"R",21
140553,"R",567,"R",637,"R",89,"R",497,"R",0,"R",497,"R",406,"R",82,"R",2,"R",0,"R",2,"R",0,"R",0,"R",13
140599,"R",142,"R",595,"R",24,"R",203,"R",0,"R",203,"R",101,"R",50,"R",132,"R",0,"R",132,"R",50,"R",38,"R",15
140669,"R",1115,"R",1697,"R",66,"R",879,"R",0,"R",879,"R",688,"R",78,"R",5,"R",0,"R",5,"R",4,"R",80,"R",20
140678,"R",344,"R",862,"R",40,"R",363,"R",0,"R",363,"R",192,"R",53,"R",243,"R",0,"R",243,"R",98,"R",40,"R",17
140696,"R",277,"R",348,"R",80,"R",262,"Z",0,"R",262,"R",211,"R",81,"A",,"A",,"A",,"A",,"A",,"R",14
140720,"R",173,"R",246,"R",70,"R",183,"R",0,"R",183,"R",95,"R",52,"R",8,"R",0,"R",8,"R",4,"R",50,"R",14
140818,"R",208,"R",335,"R",62,"R",232,"R",0,"R",232,"R",175,"R",75,"R",0,"R",0,"R",0,"R",0,"A",,"R",16
140827,"A",,"A",,"A",,"R",3,"R",0,"R",3,"R",2,"R",67,"A",,"A",,"A",,"A",,"A",,"R",6
140872,"R",366,"R",539,"R",68,"R",226,"R",0,"R",226,"R",142,"R",63,"R",1,"R",0,"R",1,"R",0,"R",0,"R",13
140942,"R",384,"R",1758,"R",22,"R",280,"R",0,"R",280,"R",134,"R",48,"R",588,"R",0,"R",588,"R",217,"R",37,"R",21
140951,"R",1668,"R",2397,"R",70,"R",1719,"R",0,"R",1719,"R",1382,"R",80,"R",20,"R",0,"R",20,"R",12,"R",60,"R",18
140960,"R",1025,"R",1388,"R",74,"R",1185,"R",0,"R",1185,"R",851,"R",72,"R",58,"R",0,"R",58,"R",23,"R",40,"R",23
140988,"R",277,"R",409,"R",68,"R",373,"R",0,"R",373,"R",201,"R",54,"R",0,"R",0,"R",0,"R",0,"A",,"R",13
140997,"R",794,"R",1023,"R",78,"R",0,"Z",0,"R",0,"Z",0,"A",,"R",0,"Z",0,"R",0,"Z",0,"A",,"R",33
141006,"R",280,"R",594,"R",47,"R",281,"R",0,"R",281,"R",138,"R",49,"R",177,"R",0,"R",177,"R",66,"R",37,"R",16
141015,"A",,"A",,"A",,"R",6,"R",0,"R",6,"R",4,"R",67,"R",2,"R",0,"R",2,"R",1,"R",50,"R",9
141060,"R",520,"R",551,"R",94,"R",529,"R",0,"R",529,"R",476,"R",90,"R",2,"R",0,"R",2,"R",1,"R",50,"R",11
141097,"R",768,"R",1667,"R",46,"R",555,"R",0,"R",555,"R",420,"R",76,"R",29,"R",0,"R",29,"R",20,"R",69,"R",20
141158,"R",85,"R",887,"R",10,"R",87,"R",0,"R",87,"R",50,"R",57,"R",163,"R",0,"R",163,"R",61,"R",37,"R",12
141167,"R",111,"R",402,"R",28,"R",88,"R",0,"R",88,"R",41,"R",47,"R",0,"R",0,"R",0,"R",0,"A",,"R",10
141185,"R",173,"R",270,"R",64,"R",165,"R",0,"R",165,"R",113,"R",68,"R",13,"R",0,"R",13,"R",4,"R",31,"R",16
141237,"R",189,"R",441,"R",43,"R",172,"R",0,"R",172,"R",101,"R",59,"R",3,"R",0,"R",3,"R",1,"R",33,"R",16
141255,"R",335,"R",1341,"R",25,"R",287,"R",0,"R",287,"R",125,"R",44,"R",353,"R",0,"R",353,"R",125,"R",35,"R",16
141264,"R",1935,"R",2825,"R",68,"R",2210,"R",0,"R",2210,"R",1489,"R",67,"R",40,"R",0,"R",40,"R",15,"R",38,"R",21
141307,"R",171,"R",398,"R",43,"R",160,"R",0,"R",160,"R",89,"R",56,"R",71,"R",0,"R",71,"R",27,"R",38,"R",20
141325,"R",122,"R",205,"R",60,"R",102,"R",0,"R",102,"R",83,"R",81,"R",0,"R",0,"R",0,"R",0,"A",,"R",10
141334,"R",2012,"R",2976,"R",68,"R",1924,"R",0,"R",1924,"R",1367,"R",71,"R",58,"R",0,"R",58,"R",18,"R",31,"R",19
141361,"R",387,"R",447,"R",87,"R",319,"R",0,"R",319,"R",206,"R",65,"R",0,"R",0,"R",0,"R",0,"A",,"R",11
141468,"R",157,"R",360,"R",44,"R",143,"R",1,"R",142,"R",84,"R",59,"R",200,"R",0,"R",200,"R",99,"R",50,"R",17
141486,"R",233,"R",528,"R",44,"R",304,"R",0,"R",304,"R",209,"R",69,"R",62,"R",0,"R",62,"R",32,"R",52,"R",12
141565,"R",446,"R",1195,"R",37,"R",456,"Z",0,"R",456,"R",321,"R",70,"R",13,"Z",0,"R",13,"R",6,"R",46,"R",15
141574,"R",1912,"R",4210,"R",45,"R",1895,"Z",0,"R",1895,"R",1497,"R",79,"R",57,"Z",0,"R",57,"R",40,"R",70,"R",13
141608,"A",,"A",,"A",,"R",12,"R",0,"R",12,"R",9,"R",75,"A",,"A",,"A",,"A",,"A",,"R",16
141644,"R",464,"R",1374,"R",34,"R",533,"R",0,"R",533,"R",368,"R",69,"R",51,"R",0,"R",51,"R",20,"R",39,"R",14
141680,"R",375,"R",1734,"R",22,"R",438,"R",0,"R",438,"R",247,"R",56,"R",293,"R",0,"R",293,"R",123,"R",42,"R",16
141796,"R",842,"R",3230,"R",26,"R",681,"R",1,"R",680,"R",497,"R",73,"R",532,"R",0,"R",532,"R",251,"R",47,"R",20
141802,"R",209,"R",621,"R",34,"R",205,"R",0,"R",205,"R",127,"R",62,"R",136,"R",0,"R",136,"R",59,"R",43,"R",12
141811,"R",932,"R",3004,"R",31,"R",854,"R",1,"R",853,"R",554,"R",65,"R",435,"R",0,"R",435,"R",203,"R",47,"R",26
141839,"R",463,"R",1454,"R",32,"R",0,"R",0,"R",0,"R",0,"A",,"R",0,"R",0,"R",0,"R",0,"A",,"R",17
141848,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",11
141945,"A",,"A",,"A",,"R",57,"R",0,"R",57,"R",53,"R",93,"A",,"A",,"A",,"A",,"A",,"R",15
141981,"R",162,"R",821,"R",20,"R",36,"Z",0,"R",36,"R",24,"R",67,"R",85,"Z",0,"R",85,"R",57,"R",67,"R",19
141990,"R",276,"R",1160,"R",24,"R",244,"R",0,"R",244,"R",147,"R",60,"R",166,"R",0,"R",166,"R",67,"R",40,"R",23
142054,"A",,"A",,"A",,"R",30,"Z",0,"R",30,"R",19,"R",63,"A",,"A",,"A",,"A",,"A",,"R",18
142090,"R",50,"R",69,"R",72,"R",61,"R",0,"R",61,"R",32,"R",52,"R",0,"R",0,"R",0,"R",0,"A",,"R",16
142115,"R",2230,"R",3992,"R",56,"R",2140,"R",0,"R",2140,"R",1530,"R",71,"R",181,"R",0,"R",181,"R",85,"R",47,"R",20
142179,"R",31,"R",397,"R",8,"R",51,"R",0,"R",51,"R",30,"R",59,"R",25,"Z",0,"R",25,"R",10,"R",40,"R",8
142276,"R",1471,"R",3373,"R",44,"R",754,"R",0,"R",754,"R",469,"R",62,"R",122,"R",0,"R",122,"R",49,"R",40,"R",16
142285,"R",1580,"R",3197,"R",49,"R",1585,"R",0,"R",1585,"R",1213,"R",77,"R",46,"R",0,"R",46,"R",15,"R",33,"R",18
142294,"R",287,"R",333,"R",86,"R",233,"R",0,"R",233,"R",193,"R",83,"R",7,"R",0,"R",7,"R",3,"R",43,"R",12
142328,"R",469,"R",1607,"R",29,"R",430,"R",0,"R",430,"R",214,"R",50,"R",34,"Z",0,"R",34,"R",10,"R",29,"R",16
142337,"R",30,"R",44,"R",68,"R",0,"R",0,"R",0,"R",0,"A",,"R",0,"R",0,"R",0,"R",0,"A",,"R",12
142407,"A",,"A",,"A",,"R",15,"R",0,"R",15,"R",12,"R",80,"A",,"A",,"A",,"A",,"A",,"R",17
142416,"A",,"A",,"A",,"R",24,"R",0,"R",24,"R",21,"R",88,"A",,"A",,"A",,"A",,"A",,"R",20
142443,"R",832,"R",1893,"R",44,"R",877,"Z",0,"R",877,"R",449,"R",51,"R",367,"Z",0,"R",367,"R",139,"R",38,"R",16
142461,"R",242,"R",415,"R",58,"R",255,"R",0,"R",255,"R",204,"R",80,"R",1,"R",0,"R",1,"R",1,"R",100,"R",14
142489,"A",,"A",,"A",,"R",17,"R",0,"R",17,"R",12,"R",71,"A",,"A",,"A",,"A",,"A",,"R",10
142522,"R",2397,"R",7251,"R",33,"R",2171,"R",312,"R",1859,"R",1337,"R",72,"R",209,"R",37,"R",172,"R",65,"R",38,"R",24
142559,"R",1020,"R",3861,"R",26,"R",1005,"R",0,"R",1005,"R",574,"R",57,"R",505,"R",0,"R",505,"R",203,"R",40,"R",23
142869,"A",,"A",,"A",,"R",24,"R",0,"R",24,"R",10,"R",42,"R",26,"R",0,"R",26,"R",10,"R",38,"R",13
142878,"A",,"A",,"A",,"R",30,"R",0,"R",30,"R",26,"R",87,"A",,"A",,"A",,"A",,"A",,"R",5
142887,"R",81,"R",123,"R",66,"R",97,"R",0,"R",97,"R",76,"R",78,"R",23,"R",0,"R",23,"R",7,"R",30,"R",15
143048,"R",561,"R",863,"R",65,"R",449,"R",10,"R",439,"R",348,"R",79,"R",1,"R",0,"R",1,"R",1,"R",100,"R",9
143075,"A",,"A",,"A",,"R",89,"R",0,"R",89,"R",58,"R",65,"A",,"A",,"A",,"A",,"A",,"R",9
143084,"R",656,"R",725,"R",90,"R",707,"R",0,"R",707,"R",597,"R",84,"A",,"A",,"A",,"A",,"A",,"R",12
143118,"R",523,"R",1002,"R",52,"R",471,"R",0,"R",471,"R",330,"R",70,"R",0,"R",0,"R",0,"R",0,"A",,"R",17
143181,"A",,"A",,"A",,"R",10,"R",0,"R",10,"R",7,"R",70,"A",,"A",,"A",,"A",,"A",,"R",15
143215,"R",1140,"R",2780,"R",41,"R",794,"R",24,"R",770,"R",457,"R",59,"R",353,"R",24,"R",329,"R",161,"R",49,"R",21
143279,"R",496,"R",1808,"R",27,"R",444,"R",4,"R",440,"R",265,"R",60,"R",116,"R",2,"R",114,"R",34,"R",30,"R",25
143288,"R",135,"R",200,"R",68,"R",141,"R",0,"R",141,"R",100,"R",71,"R",1,"R",0,"R",1,"R",1,"R",100,"R",14
143297,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",11
143303,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",9
143358,"R",1015,"R",1308,"R",78,"R",1016,"R",1,"R",1015,"R",874,"R",86,"R",2,"R",0,"R",2,"R",2,"R",100,"R",12
143376,"A",,"A",,"A",,"R",211,"R",0,"R",211,"R",208,"R",99,"R",104,"R",1,"R",103,"R",90,"R",87,"R",10
143464,"A",,"A",,"A",,"R",33,"R",0,"R",33,"R",25,"R",76,"R",23,"R",0,"R",23,"R",19,"R",83,"R",8
143473,"A",,"A",,"A",,"R",8,"R",0,"R",8,"R",6,"R",75,"R",19,"R",0,"R",19,"R",17,"R",89,"R",12
143482,"A",,"A",,"A",,"R",10,"R",0,"R",10,"R",6,"R",60,"R",1,"R",0,"R",1,"R",0,"R",0,"R",10
143491,"A",,"A",,"A",,"R",7,"R",0,"R",7,"R",6,"R",86,"R",22,"R",0,"R",22,"R",17,"R",77,"R",13
143516,"A",,"A",,"A",,"R",8,"R",0,"R",8,"R",5,"R",63,"R",13,"Z",0,"R",13,"R",10,"R",77,"R",15
143534,"A",,"A",,"A",,"R",25,"R",0,"R",25,"R",15,"R",60,"A",,"A",,"A",,"A",,"A",,"R",19
143543,"A",,"A",,"A",,"R",38,"Z",0,"R",38,"R",24,"R",63,"R",12,"Z",0,"R",12,"R",8,"R",67,"R",18
143552,"A",,"A",,"A",,"R",21,"Z",0,"R",21,"R",18,"R",86,"R",2,"R",0,"R",2,"R",2,"R",100,"R",14
143613,"R",358,"R",1199,"R",30,"R",314,"R",2,"R",312,"R",171,"R",55,"R",145,"R",1,"R",144,"R",57,"R",40,"R",15
143695,"A",,"A",,"A",,"R",7,"Z",0,"R",7,"R",5,"R",71,"A",,"A",,"A",,"A",,"A",,"R",8
144005,"R",263,"R",879,"R",30,"R",432,"Z",0,"R",432,"R",209,"R",48,"R",53,"Z",0,"R",53,"R",16,"R",30,"R",15
144050,"R",1527,"R",1549,"R",99,"R",1411,"R",0,"R",1411,"R",1400,"R",99,"A",,"A",,"A",,"A",,"A",,"R",6
144157,"R",778,"R",1678,"R",46,"R",818,"R",17,"R",801,"R",387,"R",48,"R",204,"R",15,"R",189,"R",40,"R",21,"R",35
144166,"R",607,"R",1819,"R",33,"R",514,"R",27,"R",487,"R",229,"R",47,"R",240,"R",21,"R",219,"R",77,"R",35,"R",31
144175,"R",348,"R",1172,"R",30,"R",422,"R",27,"R",395,"R",151,"R",38,"R",205,"R",12,"R",193,"R",52,"R",27,"R",39
144184,"R",618,"R",3070,"R",20,"R",951,"R",84,"R",867,"R",380,"R",44,"R",544,"R",32,"R",512,"R",151,"R",29,"R",33
144193,"R",533,"R",2741,"R",19,"R",504,"R",33,"R",471,"R",207,"R",44,"R",404,"R",26,"R",378,"R",121,"R",32,"R",45
144209,"R",1244,"R",2692,"R",46,"R",1332,"R",57,"R",1275,"R",648,"R",51,"R",469,"R",20,"R",449,"R",137,"R",31,"R",34
144218,"R",1077,"R",3492,"R",31,"R",1224,"R",59,"R",1165,"R",627,"R",54,"R",691,"R",29,"R",662,"R",266,"R",40,"R",34
144281,"R",2024,"R",3041,"R",67,"R",2093,"R",0,"R",2093,"R",1329,"R",63,"R",55,"R",0,"R",55,"R",19,"R",35,"R",10
144351,"R",318,"R",539,"R",59,"R",343,"R",0,"R",343,"R",219,"R",64,"R",0,"R",0,"R",0,"R",0,"A",,"R",10
144467,"A",,"A",,"A",,"R",177,"Z",0,"R",177,"R",116,"R",66,"A",,"A",,"A",,"A",,"A",,"R",52
144485,"A",,"A",,"A",,"R",188,"R",0,"R",188,"R",147,"R",78,"A",,"A",,"A",,"A",,"A",,"R",27
144564,"R",395,"R",2640,"R",15,"R",621,"R",6,"R",615,"R",363,"R",59,"R",406,"R",6,"R",400,"R",161,"R",40,"R",22
144573,"A",,"A",,"A",,"R",11,"R",0,"R",11,"R",8,"R",73,"A",,"A",,"A",,"A",,"A",,"R",15
144740,"R",2591,"R",4489,"R",58,"R",2454,"R",0,"R",2454,"R",2091,"R",85,"R",3,"Z",0,"R",3,"R",2,"R",67,"R",16
144759,"R",381,"R",7667,"R",5,"R",713,"R",0,"R",713,"R",320,"R",45,"R",1602,"R",2,"R",1600,"R",469,"R",29,"R",14
144795,"A",,"A",,"A",,"R",53,"R",0,"R",53,"R",50,"R",94,"R",9,"R",0,"R",9,"R",7,"R",78,"R",16
144865,"R",2820,"R",6738,"R",42,"R",2721,"R",50,"R",2671,"R",1752,"R",66,"R",1179,"R",50,"R",1129,"R",538,"R",48,"R",23
144883,"R",210,"R",273,"R",77,"R",171,"R",0,"R",171,"R",52,"R",30,"R",0,"R",0,"R",0,"R",0,"A",,"R",21
144892,"R",1295,"R",2324,"R",56,"R",1367,"R",0,"R",1367,"R",1083,"R",79,"R",4,"R",0,"R",4,"R",0,"R",0,"R",15
144944,"R",906,"R",2599,"R",35,"R",882,"R",23,"R",859,"R",634,"R",74,"R",396,"R",17,"R",379,"R",190,"R",50,"R",21
144962,"R",560,"R",933,"R",60,"R",608,"R",0,"R",608,"R",473,"R",78,"A",,"A",,"A",,"A",,"A",,"R",13
144971,"R",156,"R",241,"R",65,"R",159,"R",0,"R",159,"R",94,"R",59,"A",,"A",,"A",,"A",,"A",,"R",14
145099,"A",,"A",,"A",,"R",92,"R",0,"R",92,"R",78,"R",85,"A",,"A",,"A",,"A",,"A",,"R",18
145239,"R",74,"R",149,"R",50,"R",75,"R",0,"R",75,"R",52,"R",69,"A",,"A",,"A",,"A",,"A",,"R",17
145309,"A",,"A",,"A",,"R",29,"R",0,"R",29,"R",22,"R",76,"A",,"A",,"A",,"A",,"A",,"R",9
145336,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",11
145354,"A",,"A",,"A",,"R",1,"R",0,"R",1,"R",1,"R",100,"A",,"A",,"A",,"A",,"A",,"R",5
145372,"R",262,"R",445,"R",59,"R",276,"R",0,"R",276,"R",172,"R",62,"R",0,"Z",0,"R",0,"Z",0,"A",,"R",12
145406,"A",,"A",,"A",,"R",14,"R",0,"R",14,"R",10,"R",71,"R",27,"Z",0,"R",27,"R",22,"R",81,"R",11
145424,"A",,"A",,"A",,"R",2,"R",0,"R",2,"R",1,"R",50,"R",6,"R",0,"R",6,"R",2,"R",33,"R",8
145433,"A",,"A",,"A",,"R",10,"Z",0,"R",10,"R",9,"R",90,"R",19,"Z",0,"R",19,"R",14,"R",74,"R",18
145460,"R",9,"R",87,"R",10,"R",26,"R",0,"R",26,"R",16,"R",62,"R",7,"Z",0,"R",7,"R",2,"R",29,"R",11
145497,"R",366,"R",381,"R",96,"R",331,"R",0,"R",331,"R",88,"R",27,"R",0,"R",0,"R",0,"R",0,"A",,"R",16
145521,"R",363,"R",830,"R",44,"R",353,"R",3,"R",350,"R",203,"R",58,"R",97,"R",8,"R",89,"R",32,"R",36,"R",23
145600,"R",3101,"R",4576,"R",68,"R",3097,"R",0,"R",3097,"R",2411,"R",78,"R",18,"R",0,"R",18,"R",9,"R",50,"R",17
145619,"R",606,"R",1140,"R",53,"R",525,"R",0,"R",525,"R",385,"R",73,"R",12,"R",0,"R",12,"R",5,"R",42,"R",14
145637,"R",6914,"R",9130,"R",76,"R",7249,"R",2,"R",7247,"R",6800,"R",94,"R",3,"R",0,"R",3,"R",1,"R",33,"R",20
145646,"R",490,"R",528,"R",93,"R",510,"R",1,"R",509,"R",453,"R",89,"A",,"A",,"A",,"A",,"A",,"R",11
