unitid,"xgrcohrt",grcohrt,"xugenter",ugentern,"xpgrcohr",pgrcohrt,"xrrftct",rrftct,"xrrftex",rrftex,"xrrftcta",rrftcta,"xret_nmf",ret_nmf,"xret_pcf",ret_pcf,"xrrptct",rrptct,"xrrptex",rrptex,"xrrptcta",rrptcta,"xret_nmp",ret_nmp,"xret_pcp",ret_pcp
218867,"A",,"A",,"A",,"R",22,"R",0,"R",22,"R",19,"R",86,"R",0,"R",0,"R",0,"R",0,"A",
218885,"R",1251,"R",1927,"R",65,"R",1079,"R",0,"R",1079,"R",490,"R",45,"R",218,"R",0,"R",218,"R",75,"R",34
218894,"R",1595,"R",3165,"R",50,"R",1564,"R",0,"R",1564,"R",840,"R",54,"R",665,"R",0,"R",665,"R",275,"R",41
218919,"R",146,"R",174,"R",84,"R",109,"R",0,"R",109,"R",61,"R",56,"R",2,"R",0,"R",2,"R",1,"R",50
218955,"R",105,"R",236,"R",44,"R",82,"R",0,"R",82,"R",51,"R",62,"R",144,"R",0,"R",144,"R",47,"R",33
218964,"R",1075,"R",1406,"R",76,"R",1074,"R",0,"R",1074,"R",768,"R",72,"R",0,"R",0,"R",0,"R",0,"A",
218973,"R",415,"R",432,"R",96,"R",385,"R",0,"R",385,"R",348,"R",90,"R",0,"R",0,"R",0,"R",0,"A",
218991,"R",754,"R",1560,"R",48,"R",743,"R",0,"R",743,"R",387,"R",52,"R",241,"R",0,"R",241,"R",95,"R",39
219000,"R",427,"R",517,"R",83,"R",429,"R",0,"R",429,"R",387,"R",90,"R",5,"R",0,"R",5,"R",2,"R",40
219037,"A",,"A",,"A",,"R",46,"R",0,"R",46,"R",35,"R",76,"Z",0,"Z",0,"Z",0,"Z",0,"A",
219046,"R",547,"R",978,"R",56,"R",454,"R",0,"R",454,"R",258,"R",57,"R",28,"R",0,"R",28,"R",11,"R",39
219055,"R",20,"R",105,"R",19,"R",22,"R",0,"R",22,"R",7,"R",32,"R",35,"R",0,"R",35,"R",15,"R",43
219082,"R",248,"R",491,"R",51,"R",224,"Z",0,"R",224,"R",170,"R",76,"R",9,"Z",0,"R",9,"R",6,"R",67
