unitid,"xbarevct",barevct,"xbaexclu",baexclu,"xbaac150",baac150,"xbanc100",banc100,"xbagr100",bagr100,"xbanc150",banc150,"xbagr150",bagr150,"xbaaexcl",baaexcl,"xbaac200",baac200,"xbanc20a",banc200a,"xbanc200",banc200,"xbagr200",bagr200,"xl4revct",l4revct,"xl4exclu",l4exclu,"xl4ac150",l4ac150,"xl4nc100",l4nc100,"xl4gr100",l4gr100,"xl4nc150",l4nc150,"xl4gr150",l4gr150,"xl4aexcl",l4aexcl,"xl4ac200",l4ac200,"xl4nc20a",l4nc200a,"xl4nc200",l4nc200,"xl4gr200",l4gr200
109819,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1494,"R",0,"R",1494,"R",130,"R",9,"R",340,"R",23,"Z",0,"R",1494,"R",106,"R",446,"R",30
109891,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",43,"R",0,"R",43,"R",33,"R",77,"R",33,"R",77,"R",0,"R",43,"R",0,"R",33,"R",77
109907,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",169,"R",0,"R",169,"R",16,"R",9,"R",31,"R",18,"Z",0,"R",169,"R",7,"R",38,"R",22
109934,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",142,"R",0,"R",142,"R",89,"R",63,"R",89,"R",63,"R",0,"R",142,"R",0,"R",89,"R",63
110051,"R",58,"R",0,"R",58,"R",20,"R",34,"R",23,"R",40,"Z",0,"R",58,"R",1,"R",24,"R",41,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110060,"R",14,"R",0,"R",14,"Z",0,"R",0,"R",14,"R",100,"R",0,"R",14,"R",0,"R",14,"R",100,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110097,"R",608,"R",0,"R",608,"R",326,"R",54,"R",406,"R",67,"R",0,"R",608,"R",8,"R",414,"R",68,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110176,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",806,"R",0,"R",806,"R",65,"R",8,"R",372,"R",46,"R",0,"R",806,"R",7,"R",379,"R",47
110185,"R",89,"R",0,"R",89,"R",34,"R",38,"R",34,"R",38,"Z",0,"R",89,"R",11,"R",45,"R",51,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110194,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",83,"R",0,"R",83,"R",60,"R",72,"R",61,"R",73,"R",0,"R",83,"R",1,"R",62,"R",75
110219,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",10,"R",0,"R",10,"R",1,"R",10,"R",9,"R",90,"R",0,"R",10,"R",1,"R",10,"R",100
110246,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",982,"R",0,"R",982,"R",89,"R",9,"R",190,"R",19,"Z",0,"R",982,"R",57,"R",247,"R",25
110334,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",695,"R",0,"R",695,"R",45,"R",6,"R",166,"R",24,"Z",0,"R",695,"R",59,"R",225,"R",32
110361,"R",184,"R",0,"R",184,"R",87,"R",47,"R",105,"R",57,"Z",0,"R",184,"R",1,"R",106,"R",58,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110370,"R",129,"R",0,"R",129,"R",29,"R",22,"R",78,"R",60,"R",0,"R",129,"R",4,"R",82,"R",64,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110404,"R",205,"R",0,"R",205,"R",166,"R",81,"R",182,"R",89,"Z",0,"R",205,"R",3,"R",185,"R",90,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110413,"R",364,"R",0,"R",364,"R",208,"R",57,"R",232,"R",64,"Z",0,"R",364,"R",0,"R",232,"R",64,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110422,"R",3053,"R",0,"R",3053,"R",607,"R",20,"R",2043,"R",67,"R",0,"R",3053,"R",135,"R",2178,"R",71,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110468,"R",60,"R",0,"R",60,"R",20,"R",33,"R",27,"R",45,"Z",0,"R",60,"R",4,"R",31,"R",52,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110486,"R",545,"R",0,"R",545,"R",77,"R",14,"R",226,"R",41,"R",0,"R",545,"R",37,"R",263,"R",48,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110495,"R",565,"R",0,"R",565,"R",113,"R",20,"R",283,"R",50,"R",0,"R",565,"R",21,"R",304,"R",54,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110510,"R",1146,"R",0,"R",1146,"R",142,"R",12,"R",508,"R",44,"R",0,"R",1146,"R",84,"R",592,"R",52,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110529,"R",2600,"R",0,"R",2600,"R",265,"R",10,"R",1256,"R",48,"R",0,"R",2600,"R",221,"R",1477,"R",57,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
