UNITID,includeConference,includeCharacter,includeReason
194541,,"20,122,011,201,020,000,000",C
194569,,"201,220,112,010",C
194578,,"20,122,011,201,020,000,000",C
194824,,"20,122,011,201,020,000,000",C
194958,,"20,122,011,201,020,000,000",C
195003,,"20,122,011,201,020,000,000",C
195030,,"2,011,201,020,092,000",C
195128,,"201,020,092,008",C
195137,,"20,092,008",C
195164,,"20,122,011,201,020,000,000",C
195173,,"20,122,011,201,020,000,000",C
195234,,2008,C
195243,,"20,122,011,201,020,000,000",C
195474,,"20,122,011,201,020,000,000",C
195526,,"20,122,011,201,020,000,000",C
195544,,"20,122,011,201,020,000,000",C
195562,,"20,092,008",C
195720,,"20,122,011,201,020,000,000",C
195809,Conference,"20,122,011,201,020,000,000",B
196006,,2012,C
196033,,"20,122,011,201,020,000,000",C
196042,,"20,122,011,201,020,000,000",C
196051,,"201,220,112,010",C
196060,,"20,122,011,201,020,000,000",C
196079,,"20,122,011,201,020,000,000",C
196088,,"20,122,011,201,020,000,000",C
196097,,"20,122,011,201,020,000,000",C
196103,,"20,122,011,201,020,000,000",C
196112,,"20,122,011,201,020,000,000",C
196121,,"20,122,011,201,020,000,000",C
196130,Conference,"20,122,011,201,020,000,000",B
196149,,"20,122,011,201,020,000,000",C
196158,,"20,122,011,201,020,000,000",C
196167,,"20,122,011,201,020,000,000",C
196176,,"20,122,011,201,020,000,000",C
196185,,"20,122,011,201,020,000,000",C
196194,,"20,122,011,201,020,000,000",C
196200,,2008,C
196219,,"20,122,011,201,020,000,000",C
196237,,"20,122,011,201,020,000,000",C
196246,,"20,122,011,201,020,000,000",C
196291,,"20,122,011,201,020,000,000",C
196413,Conference,"20,122,011,201,020,000,000",B
196468,Conference,,F
197036,,"20,122,011,201,020,000,000",C
197133,,"20,122,011,201,020,000,000",C
197151,,"20,122,011,201,020,000,000",C
197197,,"20,092,008",C
197221,,"20,122,011",C
197230,,"20,122,011,201,020,000,000",C
197708,,"20,122,011,201,020,000,000",C
197869,Conference,"20,122,011,201,020,000,000",B
197911,,"20,122,011,201,020,000,000",C
197984,,"20,122,011,201,020,000,000",C
198066,,"20,122,011,201,020,000,000",C
198109,,"20,122,011,201,020,000,000",C
198136,,"20,122,011,201,020,000,000",C
