UNITID,XBAREVCT,BAREVCT,XBAEXCLU,BAEXCLU,XBAAC150,BAAC150,XBANC100,BANC100,XBAGR100,BAGR100,XBANC150,BANC150,XBAGR150,BAGR150,XBAAEXCL,BAAEXCL,XBAAC200,BAAC200,XBANC20A,BANC200A,XBANC200,BANC200,XBAGR200,BAGR200,XL4REVCT,L4REVCT,XL4EXCLU,L4EXCLU,XL4AC150,L4AC150,XL4NC100,L4NC100,XL4GR100,L4GR100,XL4NC150,L4NC150,XL4GR150,L4GR150,XL4AEXCL,L4AEXCL,XL4AC200,L4AC200,XL4NC20A,L4NC200A,XL4NC200,L4NC200,XL4GR200,L4GR200 
109785,"R",804,"R",0,"R",804,"R",418,"R",52,"R",506,"R",63,"R",0,"R",804,"R",24,"R",530,"R",66,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.
109819,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1623,"R",0,"R",1623,"R",144,"R",9,"R",340,"R",21,"R",0,"R",1623,"R",93,"R",433,"R",27
109891,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",10,"R",1,"R",9,"R",3,"R",33,"R",3,"R",33,"R",0,"R",9,"R",0,"R",3,"R",33
109907,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",156,"R",0,"R",156,"R",12,"R",8,"R",30,"R",19,"R",0,"R",156,"R",8,"R",38,"R",24
109934,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",118,"R",0,"R",118,"R",16,"R",14,"R",71,"R",60,"R",0,"R",118,"R",1,"R",72,"R",61
110051,"R",84,"R",1,"R",83,"R",10,"R",12,"R",19,"R",23,"R",0,"R",83,"R",0,"R",19,"R",23,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.
110060,"R",75,"R",0,"R",75,"Z",0,"R",0,"R",67,"R",89,"R",0,"R",75,"R",5,"R",72,"R",96,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.
110097,"R",656,"R",0,"R",656,"R",345,"R",53,"R",462,"R",70,"R",0,"R",656,"R",18,"R",480,"R",73,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.
110185,"R",350,"R",0,"R",350,"R",17,"R",5,"R",144,"R",41,"R",0,"R",350,"R",0,"R",144,"R",41,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.
110194,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",154,"R",0,"R",154,"R",121,"R",79,"R",121,"R",79,"R",0,"R",154,"R",0,"R",121,"R",79
